name,price,status,shipping,free_returns,items_sold
New ListingMug Friend Bible Verse Ceramic Black and White Coffee or Tea Cup,899,Pre-Owned,940,False,
B Kliban Cat Guitar Player Men's Coffee Mug,1399,Brand New,399,False,
New ListingFriends TV Show Central Perk Gift Box Set Mug Cup Latte,1499,Brand New,1710,False,
New ListingNEW Rae Dunn Mug MAMA BEAR Double Sided With Baby Bear Blue Inside,1299,Pre-Owned,1050,False,
Bear Mug Minot ND,1800,Pre-Owned,0,False,
The Old Pottery Company Inspirational Keep Calm and Drink Coffee Ceramic Mug,825,Pre-Owned,1020,False,
Gregg Funny Gutfeld Vintage Coffee Mug 11/15oz,1899,Brand New,599,True,
New ListingRae Dunn Disney Cinderella Iridescent Shoe Topper Mug,3036,Brand New,0,True,
Simply Girls Home Accessories Elf Stockings Christmas Coffee Mug Tea Cup - EUC,999,Pre-Owned,799,False,
"The drum personalized mug, Drum mug, Drummer coffee mug, gifts for drummers ,gif",1690,New other (see details),0,False,
You're A Great Sister Trump Coffee Mug Birthday Christmas Sweet Gifts for Sister,1899,Brand New,599,True,
Pumpkin Mug Fall Season Coming Harvest Pumpkin Halloween Best Gift Funny Gift ,1120,Brand New,498,False,
"Irish Blessing Mug - When I Count My Blessings, I Count You Twice.- Funny Tea...",1495,Brand New,0,False,
Best Mom Ever Ceramic Mug Pink Marbled Glaze SWEET GIFT with Coaster,1099,Brand New,0,True,
